Step Steps Size AveragePathLength
1000000 1000000000 1000 12.084
2000000 1000000000 1000 10.319
3000000 1000000000 1000 10.998
4000000 1000000000 1000 9.935
5000000 1000000000 1000 10.57
6000000 1000000000 1000 12.263
7000000 1000000000 1000 9.938
8000000 1000000000 1000 10.262
9000000 1000000000 1000 10.62
10000000 1000000000 1000 10.428
11000000 1000000000 1000 11.871
12000000 1000000000 1000 10.491
13000000 1000000000 1000 10.575
14000000 1000000000 1000 10.658
15000000 1000000000 1000 10.368
16000000 1000000000 1000 10.681
17000000 1000000000 1000 9.764
18000000 1000000000 1000 10.206
19000000 1000000000 1000 10.146
20000000 1000000000 1000 12.027
21000000 1000000000 1000 10.136
22000000 1000000000 1000 10.874
23000000 1000000000 1000 10.07
24000000 1000000000 1000 11.397
25000000 1000000000 1000 10.541
26000000 1000000000 1000 10.223
27000000 1000000000 1000 10.152
28000000 1000000000 1000 10.489
29000000 1000000000 1000 12.165
30000000 1000000000 1000 10.385
31000000 1000000000 1000 10.036
32000000 1000000000 1000 10.368
33000000 1000000000 1000 9.983
34000000 1000000000 1000 12.144
35000000 1000000000 1000 12.647
36000000 1000000000 1000 10.116
37000000 1000000000 1000 10.246
38000000 1000000000 1000 10.364
39000000 1000000000 1000 10.452
40000000 1000000000 1000 11.793
41000000 1000000000 1000 10.444
42000000 1000000000 1000 10.293
43000000 1000000000 1000 11.822
44000000 1000000000 1000 9.898
45000000 1000000000 1000 10.745
46000000 1000000000 1000 11.133
47000000 1000000000 1000 10.454
48000000 1000000000 1000 10.636
49000000 1000000000 1000 10.489
50000000 1000000000 1000 10.417
51000000 1000000000 1000 10.379
52000000 1000000000 1000 11.547
53000000 1000000000 1000 12.599
54000000 1000000000 1000 9.97
55000000 1000000000 1000 10.014
56000000 1000000000 1000 11.122
57000000 1000000000 1000 11.467
58000000 1000000000 1000 10.586
59000000 1000000000 1000 11.823
60000000 1000000000 1000 13.157
61000000 1000000000 1000 10.363
62000000 1000000000 1000 10.529
63000000 1000000000 1000 10.345
64000000 1000000000 1000 10.009
65000000 1000000000 1000 10.597
66000000 1000000000 1000 10.391
67000000 1000000000 1000 10.493
68000000 1000000000 1000 10.84
69000000 1000000000 1000 10.137
70000000 1000000000 1000 10.25
71000000 1000000000 1000 10.536
72000000 1000000000 1000 10.38
73000000 1000000000 1000 10.464
74000000 1000000000 1000 9.869
75000000 1000000000 1000 11.572
76000000 1000000000 1000 11.83
77000000 1000000000 1000 11.173
78000000 1000000000 1000 10.317
79000000 1000000000 1000 10.326
80000000 1000000000 1000 10.339
81000000 1000000000 1000 11.163
82000000 1000000000 1000 10.715
83000000 1000000000 1000 12.056
84000000 1000000000 1000 10.804
85000000 1000000000 1000 11.532
86000000 1000000000 1000 10.421
87000000 1000000000 1000 10.763
88000000 1000000000 1000 10.411
89000000 1000000000 1000 10.528
90000000 1000000000 1000 10.748
91000000 1000000000 1000 10.364
92000000 1000000000 1000 10.447
93000000 1000000000 1000 10.261
94000000 1000000000 1000 10.724
95000000 1000000000 1000 10.367
96000000 1000000000 1000 11.327
97000000 1000000000 1000 10.154
98000000 1000000000 1000 11.784
99000000 1000000000 1000 12.197
100000000 1000000000 1000 10.839
101000000 1000000000 1000 11.31
102000000 1000000000 1000 11.185
103000000 1000000000 1000 10.577
104000000 1000000000 1000 11.699
105000000 1000000000 1000 9.667
106000000 1000000000 1000 10.341
107000000 1000000000 1000 9.94
108000000 1000000000 1000 10.916
109000000 1000000000 1000 10.235
110000000 1000000000 1000 10.777
111000000 1000000000 1000 10.5
112000000 1000000000 1000 10.583
113000000 1000000000 1000 10.98
114000000 1000000000 1000 10.775
115000000 1000000000 1000 10.168
116000000 1000000000 1000 9.86
117000000 1000000000 1000 10.441
118000000 1000000000 1000 11.374
119000000 1000000000 1000 12.447
120000000 1000000000 1000 11.918
121000000 1000000000 1000 11.811
122000000 1000000000 1000 10.157
123000000 1000000000 1000 10.437
124000000 1000000000 1000 10.712
125000000 1000000000 1000 10.649
126000000 1000000000 1000 11.609
127000000 1000000000 1000 10.664
128000000 1000000000 1000 11.06
129000000 1000000000 1000 10.662
130000000 1000000000 1000 10.001
131000000 1000000000 1000 10.606
132000000 1000000000 1000 11.111
133000000 1000000000 1000 11.069
134000000 1000000000 1000 10.236
135000000 1000000000 1000 11.487
136000000 1000000000 1000 10.15
137000000 1000000000 1000 10.683
138000000 1000000000 1000 10.801
139000000 1000000000 1000 12.197
140000000 1000000000 1000 12.396
141000000 1000000000 1000 10.419
142000000 1000000000 1000 9.934
143000000 1000000000 1000 10.73
144000000 1000000000 1000 9.851
145000000 1000000000 1000 11.208
146000000 1000000000 1000 11.043
147000000 1000000000 1000 11.146
148000000 1000000000 1000 10.936
149000000 1000000000 1000 10.032
150000000 1000000000 1000 10.927
151000000 1000000000 1000 9.983
152000000 1000000000 1000 11.382
153000000 1000000000 1000 11.471
154000000 1000000000 1000 10.194
155000000 1000000000 1000 10.889
156000000 1000000000 1000 10.584
157000000 1000000000 1000 10.367
158000000 1000000000 1000 10.487
159000000 1000000000 1000 12.403
160000000 1000000000 1000 11.266
161000000 1000000000 1000 10.247
162000000 1000000000 1000 11.09
163000000 1000000000 1000 10.776
164000000 1000000000 1000 10.602
165000000 1000000000 1000 10.536
166000000 1000000000 1000 11.045
167000000 1000000000 1000 10.275
168000000 1000000000 1000 11.652
169000000 1000000000 1000 13.441
170000000 1000000000 1000 10.878
171000000 1000000000 1000 11.711
172000000 1000000000 1000 10.746
173000000 1000000000 1000 10.821
174000000 1000000000 1000 11.456
175000000 1000000000 1000 10.448
176000000 1000000000 1000 10.816
177000000 1000000000 1000 10.659
178000000 1000000000 1000 10.325
179000000 1000000000 1000 10.557
180000000 1000000000 1000 11.788
181000000 1000000000 1000 10.709
182000000 1000000000 1000 11.132
183000000 1000000000 1000 10.239
184000000 1000000000 1000 10.529
185000000 1000000000 1000 10.377
186000000 1000000000 1000 10.98
187000000 1000000000 1000 10.435
188000000 1000000000 1000 10.852
189000000 1000000000 1000 10.577
190000000 1000000000 1000 11.294
191000000 1000000000 1000 10.264
192000000 1000000000 1000 9.858
193000000 1000000000 1000 11.206
194000000 1000000000 1000 11.008
195000000 1000000000 1000 10.408
196000000 1000000000 1000 10.91
197000000 1000000000 1000 9.839
198000000 1000000000 1000 11.061
199000000 1000000000 1000 11.262
200000000 1000000000 1000 11.114
201000000 1000000000 1000 11.912
202000000 1000000000 1000 11.078
203000000 1000000000 1000 12.285
204000000 1000000000 1000 10.566
205000000 1000000000 1000 11.946
206000000 1000000000 1000 10.583
